Below,Topics,Alpha,Beta,Coherence
5,9,0.61,0.31,-5.411265150984562
5,9,0.61,0.61,-3.9004302614741926
5,9,0.61,0.9099999999999999,-2.78751273805788
5,9,0.61,symmetric,-6.4835822856726715
5,9,0.9099999999999999,0.01,-6.191645637817735
5,9,0.9099999999999999,0.31,-3.289224721317758
5,9,0.9099999999999999,0.61,-2.7120571864642518
5,9,0.9099999999999999,0.9099999999999999,-2.6572626665926915
5,9,0.9099999999999999,symmetric,-5.707657236266142
5,9,symmetric,0.01,-5.10953241180216
5,9,symmetric,0.31,-4.589586664307408
5,9,symmetric,0.61,-3.9886047448961577
5,9,symmetric,0.9099999999999999,-4.747807132179203
5,9,symmetric,symmetric,-5.018429997774266
5,9,asymmetric,0.01,-10.71640517885237
5,9,asymmetric,0.31,-12.755076014324052
5,9,asymmetric,0.61,-12.961567965959802
5,9,asymmetric,0.9099999999999999,-11.997119206147863
5,9,asymmetric,symmetric,-12.964030143271739
