Below,Topics,Alpha,Beta,Coherence
3,3,asymmetric,0.61,-13.58850053008589
3,3,asymmetric,0.9099999999999999,-12.855657616799277
3,3,asymmetric,symmetric,-14.077096519331638
3,4,0.01,0.01,-2.940493794471405
3,4,0.01,0.31,-2.96540231869713
3,4,0.01,0.61,-2.824354599203455
3,4,0.01,0.9099999999999999,-3.011816555395754
3,4,0.01,symmetric,-2.997392614068829
3,4,0.31,0.01,-3.057640241373567
3,4,0.31,0.31,-3.255658903838886
3,4,0.31,0.61,-3.325432489839102
3,4,0.31,0.9099999999999999,-3.9229726603619275
3,4,0.31,symmetric,-3.4366371966582627
3,4,0.61,0.01,-3.473402805962553
3,4,0.61,0.31,-3.3855176389193935
3,4,0.61,0.61,-3.2978763210265836
3,4,0.61,0.9099999999999999,-3.261215557406176
3,4,0.61,symmetric,-3.3914465706477523
3,4,0.9099999999999999,0.01,-3.335596575680775
3,4,0.9099999999999999,0.31,-3.1539246723997527
3,4,0.9099999999999999,0.61,-2.916603682790345
3,4,0.9099999999999999,0.9099999999999999,-2.822236760093147
3,4,0.9099999999999999,symmetric,-3.3152686596963283
3,4,symmetric,0.01,-3.0971113333161773
3,4,symmetric,0.31,-3.0145875984989843
3,4,symmetric,0.61,-2.9797298715452696
3,4,symmetric,0.9099999999999999,-3.132357879699162
3,4,symmetric,symmetric,-2.9969936189525774
3,4,asymmetric,0.01,-9.221166092994222
3,4,asymmetric,0.31,-15.583753046180957
3,4,asymmetric,0.61,-14.950318309144375
3,4,asymmetric,0.9099999999999999,-14.964307324582919
3,4,asymmetric,symmetric,-15.119675611504633
3,5,0.01,0.01,-3.2380249921116984
3,5,0.01,0.31,-3.2159488902344635
3,5,0.01,0.61,-3.317857932836973
3,5,0.01,0.9099999999999999,-4.5262723217725975
3,5,0.01,symmetric,-3.217348965995952
3,5,0.31,0.01,-3.928421769620811
3,5,0.31,0.31,-3.621872220044424
3,5,0.31,0.61,-3.7475262296038947
3,5,0.31,0.9099999999999999,-3.9517236406634817
3,5,0.31,symmetric,-3.8268181875957135
3,5,0.61,0.01,-3.77642289436353
3,5,0.61,0.31,-3.884746181138124
3,5,0.61,0.61,-3.7476578801313942
3,5,0.61,0.9099999999999999,-3.589994430634737
3,5,0.61,symmetric,-3.9201768225108067
3,5,0.9099999999999999,0.01,-3.975654306685628
3,5,0.9099999999999999,0.31,-3.264971692061542
3,5,0.9099999999999999,0.61,-2.7932157184794493
3,5,0.9099999999999999,0.9099999999999999,-2.643848791850792
3,5,0.9099999999999999,symmetric,-3.4485124885698846
3,5,symmetric,0.01,-3.5318020095373663
3,5,symmetric,0.31,-3.445710559801389
3,5,symmetric,0.61,-3.069484322319796
3,5,symmetric,0.9099999999999999,-3.284390810708976
3,5,symmetric,symmetric,-3.407639765425087
3,5,asymmetric,0.01,-8.574426261969585
3,5,asymmetric,0.31,-15.048648635216205
3,5,asymmetric,0.61,-14.648623989462696
3,5,asymmetric,0.9099999999999999,-14.606443239745872
3,5,asymmetric,symmetric,-14.58451917423612
3,6,0.01,0.01,-3.13418289753899
3,6,0.01,0.31,-3.325189790685448
3,6,0.01,0.61,-4.2251167956692255
3,6,0.01,0.9099999999999999,-5.254714311100655
3,6,0.01,symmetric,-3.2005226832204277
3,6,0.31,0.01,-4.722570516496426
3,6,0.31,0.31,-4.471364643143542
3,6,0.31,0.61,-5.18324815501726
3,6,0.31,0.9099999999999999,-5.705042607860953
3,6,0.31,symmetric,-4.880812999128296
3,6,0.61,0.01,-4.333420257703602
3,6,0.61,0.31,-4.324893092669574
3,6,0.61,0.61,-4.0807586535582026
3,6,0.61,0.9099999999999999,-3.5346913465499856
3,6,0.61,symmetric,-4.546911665911676
3,6,0.9099999999999999,0.01,-4.4585521015272835
3,6,0.9099999999999999,0.31,-3.017659056367302
3,6,0.9099999999999999,0.61,-2.7309247034399284
3,6,0.9099999999999999,0.9099999999999999,-2.6944157454762343
3,6,0.9099999999999999,symmetric,-3.5181977676664062
